temperature,humidity,lux,flux
28.75,20.5,80,91.15
28.75,20.51,80,85.94
28.69,20.53,80,96.36
28.75,20.58,80,83.34
28.69,20.62,80,75.53
28.75,20.66,80,104.17
28.75,20.68,80,98.96
28.75,20.69,80,88.55
28.75,20.7,80,83.34
28.75,20.71,80,88.55
28.75,20.73,80,91.15
28.75,20.74,80,104.17
28.81,20.77,80,83.34
28.75,20.79,96,88.55
28.81,20.82,96,91.15
28.81,20.85,88,78.13
28.81,20.88,72,96.36
28.81,20.93,88,85.94
28.81,20.97,104,83.34
28.81,21.02,96,85.94
28.81,21.07,80,91.15
28.81,21.1,96,88.55
28.81,21.13,80,83.34
28.81,21.17,80,83.34
28.87,21.23,96,83.34
28.87,21.28,80,88.55
28.87,21.33,96,83.34
28.87,21.38,96,91.15
28.81,21.4,96,93.76
28.87,21.42,96,104.17
28.87,21.47,96,91.15
28.87,21.49,96,85.94
28.87,21.52,96,85.94
28.87,21.56,96,83.34
28.87,21.6,96,80.73
28.87,21.65,96,78.13
28.87,21.69,96,83.34
28.94,21.74,96,80.73
28.87,21.81,96,83.34
28.94,21.87,96,88.55
28.94,21.94,96,70.32
28.94,22.03,96,72.92
28.94,22.1,88,67.71
28.94,22.16,88,78.13
28.94,22.19,88,80.73
28.94,22.24,88,80.73
28.94,22.29,88,101.57
28.94,22.38,88,101.57
28.94,22.51,88,85.94
28.94,22.68,88,67.71
28.94,22.83,88,70.32
28.94,22.9,88,83.34
28.94,22.87,88,83.34
28.94,22.87,88,88.55
28.87,22.96,96,83.34
28.94,22.97,80,78.13
28.94,23.06,80,75.53
28.87,23.37,80,88.55
28.87,23.58,80,93.76
28.87,23.64,80,85.94
28.87,23.62,80,67.71
28.94,23.54,80,75.53
28.87,23.47,80,93.76
28.87,23.4,80,80.73
28.94,23.35,80,83.34
28.94,23.32,80,96.36
28.94,23.29,80,88.55
28.87,23.29,80,101.57
28.87,23.38,80,104.17
28.87,23.43,80,85.94
28.81,23.47,80,93.76
28.81,23.48,80,83.34
28.81,23.5,80,106.78
28.81,23.51,80,96.36
28.81,23.59,80,111.99
28.81,23.67,80,85.94
28.81,23.73,80,85.94
28.81,23.77,80,78.13
28.81,23.81,80,91.15
28.81,23.83,88,88.55
28.81,23.83,88,91.15
28.75,23.81,96,91.15
28.75,23.85,96,91.15
28.75,24,96,88.55
28.75,24.16,88,78.13
28.75,24.27,88,96.36
28.75,24.37,96,96.36
28.75,24.48,96,83.34
28.75,24.54,111,106.78
28.75,24.58,96,93.76
28.75,24.62,96,106.78
28.81,24.65,96,93.76
28.75,24.64,96,117.2
28.81,24.67,96,109.38
28.81,24.7,96,114.59
28.81,24.73,111,109.38
28.81,24.74,88,104.17
28.81,24.74,104,85.94
28.81,24.76,88,109.38
28.81,24.82,96,85.94
28.81,25.07,96,101.57
28.75,25.31,96,85.94
28.75,25.42,96,85.94
28.75,25.44,96,93.76
28.69,25.46,96,96.36
28.75,25.44,96,85.94
28.75,25.37,96,104.17
28.69,25.33,96,98.96
28.75,25.33,96,80.73
28.75,25.31,96,96.36
28.75,25.32,96,85.94
28.69,25.32,96,75.53
28.69,25.33,96,78.13
28.69,25.35,96,75.53
28.69,25.59,96,80.73
28.69,25.59,96,88.55
28.69,25.52,96,78.13
28.62,25.54,96,83.34
28.62,25.56,96,91.15
28.62,25.59,96,78.13
28.62,25.61,96,96.36
28.69,25.64,96,62.5
28.69,25.68,96,88.55
28.69,25.72,96,101.57
28.75,25.73,96,80.73
28.75,25.79,96,80.73
28.75,25.85,96,70.32
28.75,25.88,96,78.13
28.75,25.91,96,67.71
28.75,25.92,96,72.92
28.69,25.92,96,67.71
28.69,25.92,96,70.32
28.69,25.92,96,75.53
